=== OVERALL METRICS ===,
Metric,Value
Total Scenarios,6
Successful Runs,4
Top-1 Accuracy,16.67%
Top-3 Accuracy,16.67%
Avg Search-Space Reduction,93.54%
Avg Field Population Rate,22.22%
Escalation Rate,83.33%
Avg Tool Calls per Scenario,1.33
Avg Latency (ms),2146.5

=== BY RESEARCH QUESTION ===,
RQ Category,Total,Top-1 Hits,Top-1 Accuracy,Escalation Rate
RQ1,2,1,50.00%,50.00%
RQ2,2,0,0.00%,100.00%
RQ3,2,0,0.00%,100.00%

=== TOOL USAGE ===,
Tool,Call Count
search_elements_by_type,4
get_element_details,1
generate_3d_view,1
list_available_spaces,1
get_elements_by_storey,1

=== PER-SCENARIO RESULTS ===,
Scenario ID,RQ,GUID Match,Name Match,Storey Match,Tool Calls,Latency (ms),Pool Reduction,Error
GT_001_RQ1_Visual_Mockup,RQ1,Yes,Yes,Yes,3,2870.7,97.50%,
GT_002_RQ1_Window_QA,RQ1,No,No,Yes,3,2611.6,84.67%,
GT_004_RQ2_Entrance_Compliance,RQ2,No,No,Yes,2,1772.7,92.00%,
GT_005_RQ2_Fire_Door_Rating,RQ2,No,No,No,0,2683.2,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash-lite
Please retry in 9.038231976s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 9
}
]"
GT_007_RQ3_HighRise_Abductive,RQ3,No,No,No,0,717.7,,
GT_008_RQ3_Ground_Abductive,RQ3,No,No,No,0,2223.0,,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash-lite
Please retry in 52.117556509s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 52
}
]"
